Item #,Qty,Manufacturer,Mfg Part #,Description,Designator
1,2,TDK,C3225X7R2A225K230AB,CAP CER 2.2UF 100V X7R 1210,C10 C11
2,1,Vishay Dale,CRCW0402124KFKED,RES SMD 124K OHM 1% 1/16W 0402,R6
3,2,KEMET,C0805C222K5RACTU,CAP CER 2200PF 50V X7R 0805,C12 C13
4,1,SMC Diode Solutions,SB10150,DIODE SCHOTTKY 150V 10A DO201AD,D1
5,2,Murata,LQW15AN47NG00D,FIXED IND 47NH 210MA 1.08OHM SMD,L1 L2
6,1,KEMET,C0805C470J5GACTU,CAP CER 47PF 50V C0G/NP0 0805,C14
7,1,Vishay Dale,CRCW06031M30FKEA,RES SMD 1.3M OHM 1% 1/10W 0603,R9
8,1,YAGEO,RC0603FR-07576KL,RES 576K OHM 1% 1/10W 0603,R10
9,3,YAGEO,RC0603FR-0749K9L,RES 49.9K OHM 1% 1/10W 0603,R11 R12 R20
10,4,Texas Instruments,TLV76701DRVR,IC REG LINEAR POS ADJ 1A 6-WSON,LDOs
11,2,Murata,GJM1555C1HR50WB01D,CAP CER 0.5PF 50V C0G/NP0 0402,C1 C2
12,1,Samsung,CL21A475KAQNNNE,CAP CER 4.7UF 25V X5R 0805,C3
13,1,Muraa,GRM21BR61C106KE15K,CAP CER 10UF 16V X5R 0805,C4
14,1,KEMET,C0603C104K5RAC7411,CAP CER 0.1UF 50V X7R 0603,C16
15,3,TAGEO,CC0603JRNPO9BN101,CAP CER 100PF 50V C0G/NPO 0603,C5 C6 C17
16,4,TDK ,CGA3E1X7R1E105K080DC,"AUTOMOTIVE GRADE,0603,X7R,25V,1U",C18 C20 C22 C24
17,4,MURATA,GRM188R61E225KA12D,CAP CER 2.2UF 25V X5R 0603,C19 C21 C23 C25
18,1,TDK,ACT45B-101-2P-TL003,CMC 100UH 150MA 2LN 5.8KOHM SMD,FFL1
19,2,TE Connectivity AMP ,5555153-1,CONN MOD JACK 8P8C R/A SHIELDED,
20,2,Vishay Dale,CRCW060360R4FKEA,RES SMD 60.4 OHM 1% 1/10W 0603,R1 R2
21,2,Vishay Dale,CRCW06030000Z0EAHP,RES SMD 0 OHM JUMPER 1/3W 0603,R3 R4
22,1,Texas Instruments,TCAN1042HGVDRQ1,IC TRANSCEIVER 1/1 8SOIC,U2
23,1,Panasonic,ERJ-3EKF1002V,RES SMD 10K OHM 1% 1/10W 0603,R5
24,1,YAGEO,RC0603FR-076K81L,RES 6.81K OHM 1% 1/10W 0603,R7
25,1,Stackpole Electronics,RMCF0603FT3K32,RES 3.32K OHM 1% 1/10W 0603,R8
26,5,YAGEO,RC0603FR-0716KL,RES 16K OHM 1% 1/10W 0603,R13 R15 R19 R21 R22
27,1,YAGEO,RC0603FR-0782K5L,RES 82.5K OHM 1% 1/10W 0603,R14
28,1,YAGEO,RC0603JR-071K5L,RES 1.5K OHM 5% 1/10W 0603,R16
29,1,Stackpole Electronics,RMCF0603FT220K,RES 220K OHM 1% 1/10W 0603,R17
30,1,YAGEO,RC0603FR-073K9L,RES 3.9K OHM 1% 1/10W 0603,R18
31,1,Texas Instruments,ISO7041FQDBQRQ1,DGTL ISOLTR 3KV 4CH GP 16-SSOP,U3
32,1,Texas Instruments,DAC6551AQDGKRQ1,IC DAC 12BIT V-OUT 8VSSOP,U4
33,1,Texas Instruments,TLV9361QDBVRQ1,"AUTOMOTIVE, SINGLE, 40-V 10.6-MH",U6
34,1,Texas Instruments,LM5012QDDARQ1,IC REG BUCK ADJ 2.5A 8SOPWR,U5
35,3,Wurth,74650074R,TERM REDCUBE M4 4PIN PCB,
36,1,LITEON,LTST-C171GKT,LED GREEN CLEAR CHIP SMD,D2
37,3,Samsung,CL10C040CB8NNNC,CAP CER 4PF 50V C0G/NP0 0603,C7 C8 C9
38,1,Murata,GRM32ER61E226KE15L,CAP CER 22UF 25V X5R 1210,C15
